t[sec];q1[m3/h];h1[m];h2[m];q2_measurement[m3/h]
146,5;0,01;0,108840553;0,066786487;0,013624381
147;0,01;0,107532443;0,06576926;0,013270267
147,5;0,01;0,106267965;0,064787795;0,01368247
148;0,01;0,10504594;0,063841025;0,013643818
148,5;0,01;0,103865203;0,062927903;0,01370502
149;0,01;0,102724608;0,062047401;0,012363034
149,5;0,01;0,101623026;0,061198513;0,013045659
150;0,01;0,100559349;0,060380253;0,011939806
150,5;0,01;0,099532485;0,059591659;0,012552039
151;0,01;0,098541361;0,058831786;0,011811761
151,5;0,01;0,097584925;0,058099714;0,011767356
152;0,01;0,096662143;0,057394541;0,012638612
152,5;0,01;0,095772003;0,05671539;0,013049173
153;0,01;0,094913511;0,056061402;0,01218399
153,5;0,01;0,094085695;0,055431742;0,012781923
154;0,01;0,093287602;0,054825595;0,012320994
154,5;0,01;0,092518301;0,054242167;0,011076853
155;0,01;0,091776881;0,053680685;0,011075726
155,5;0,01;0,091062451;0,053140397;0,011204283
156;0,01;0,090374143;0,052620572;0,011422148
156,5;0,01;0,089711108;0,052120499;0,013369373
157;0,01;0,089072516;0,051639487;0,010872823
157,5;0,01;0,088457562;0,051176866;0,011518009
158;0,01;0,087865458;0,050731984;0,010631496
158,5;0,01;0,087295437;0,050304209;0,011760882
159;0,01;0,086746752;0,049892927;0,011176521
159,5;0,01;0,086218679;0,049497546;0,010503421
160;0,01;0,085710509;0,04911749;0,012341631
160,5;0,01;0,085221556;0,048752199;0,010599532
161;0,01;0,084751152;0,048401134;0,012664119
161,5;0,01;0,08429865;0,048063773;0,012180228
162;0,01;0,083863418;0,047739608;0,010803036
162,5;0,01;0,083444847;0,047428151;0,009586903
163;0,01;0,083042342;0,047128928;0,010698727
163,5;0,01;0,08265533;0,046841482;0,01124746
164;0,01;0,082283253;0,046565371;0,010902407
164,5;0,01;0,081925571;0,046300166;0,009882708
165;0,01;0,08158176;0,046045456;0,009046992
165,5;0,01;0,081251314;0,045800842;0,011630544
166;0,01;0,080933744;0,04556594;0,011004249
166,5;0,01;0,080628573;0,045340379;0,0134415
167;0,01;0,080335344;0,045123799;0,008871703
167,5;0,01;0,080053612;0,044915857;0,009787045
168;0,01;0,079782949;0,044716219;0,009752257
168,5;0,01;0,07952294;0,044524565;0,010616652
169;0,01;0,079273183;0,044340583;0,008951782
169,5;0,01;0,079033293;0,044163977;0,010043244
170;0,01;0,078802896;0,04399446;0,009489685
170,5;0,01;0,07858163;0,043831753;0,011140052
171;0,01;0,078369149;0,043675591;0,011663787
171,5;0,01;0,078165115;0,043525717;0,010118368
172;0,01;0,077969205;0,043381883;0,00976787
172,5;0,01;0,077781107;0,043243853;0,009477058
173;0,01;0,077600519;0,043111396;0,010519971
173,5;0,01;0,07742715;0,042984293;0,008205513
174;0,01;0,077260722;0,042862331;0,00946654
174,5;0,01;0,077100963;0,042745307;0,009789994
175;0,01;0,076947615;0,042633024;0,010870534
175,5;0,01;0,076800426;0,042525294;0,0108312
176;0,01;0,076659156;0,042421936;0,009707488
176,5;0,01;0,076523573;0,042322774;0,010573166
177;0,01;0,076393453;0,042227641;0,008690065
177,5;0,01;0,076268581;0,042136376;0,010117709
178;0,01;0,076148751;0,042048824;0,010933733
178,5;0,01;0,076033762;0,041964835;0,010627777
179;0,01;0,075923423;0,041884268;0,009758042
179,5;0,01;0,075817549;0,041806983;0,009306527
180;0,01;0,075715964;0,04173285;0,010060155
180,5;0,01;0,075618497;0,041661741;0,009737306
181;0,01;0,075524984;0,041593534;0,009174731
181,5;0,01;0,075435266;0,041528111;0,011614168
182;0,01;0,075349193;0,041465362;0,010107984
182,5;0,01;0,075266618;0,041405176;0,008634839
183;0,01;0,075187402;0,041347451;0,009479472
183,5;0,01;0,075111409;0,041292087;0,008902472
184;0,01;0,075038511;0,041238988;0,009131356
184,5;0,01;0,074968583;0,041188062;0,010098875
185;0,01;0,074901504;0,041139221;0,011949353
185,5;0,01;0,074837162;0,041092381;0,009084863
186;0,01;0,074775445;0,041047459;0,00934672
186,5;0,01;0,074716247;0,041004379;0,009620981
187;0,01;0,074659467;0,040963064;0,00848309
187,5;0,01;0,074605006;0,040923444;0,010326149
188;0,01;0,074552772;0,040885448;0,00919246
188,5;0,01;0,074502673;0,040849011;0,012302974
189;0,01;0,074454624;0,04081407;0,009625429
189,5;0,01;0,074408541;0,040780563;0,010887452
190;0,01;0,074364344;0,040748431;0,009700227
190,5;0,01;0,074321957;0,040717619;0,008823082
191;0,01;0,074281306;0,040688072;0,011361194
191,5;0,01;0,074242321;0,040659739;0,008565591
192;0,01;0,074204934;0,04063257;0,008710764
192,5;0,01;0,074169079;0,040606518;0,011048889
193;0,01;0,074134695;0,040581536;0,011566333
193,5;0,01;0,074101721;0,040557582;0,010362566
194;0,01;0,0740701;0,040534612;0,011048258
194,5;0,01;0,074039777;0,040512587;0,011116481
195;0,01;0,074010699;0,040491468;0,012276449
195,5;0,01;0,073982814;0,040471217;0,008546372
196;0,01;0,073956074;0,0404518;0,008573281
196,5;0,01;0,073930433;0,040433182;0,009894452
197;0,01;0,073905846;0,040415329;0,011941815
197,5;0,01;0,073882268;0,040398212;0,011258131
198;0,01;0,07385966;0,040381799;0,010446984
198,5;0,01;0,073837981;0,040366061;0,007830795
199;0,01;0,073817193;0,040350972;0,009694857
199,5;0,01;0,07379726;0,040336504;0,009944228
200;0,01;0,073778146;0,040322631;0,009146968
200,5;0,01;0,073759819;0,04030933;0,009101732
201;0,01;0,073742246;0,040296577;0,009806233
201,5;0,01;0,073725395;0,040284349;0,011012159
202;0,01;0,073709238;0,040272625;0,009405419
202,5;0,01;0,073693746;0,040261383;0,011183781
203;0,01;0,073678892;0,040250605;0,009053077
203,5;0,01;0,073664649;0,040240271;0,008552755
204;0,01;0,073650992;0,040230363;0,011250365
204,5;0,01;0,073637898;0,040220863;0,011233082
205;0,01;0,073625342;0,040211754;0,011359899
205,5;0,01;0,073613304;0,040203021;0,009728519
206;0,01;0,073601762;0,040194648;0,010659097
206,5;0,01;0,073590695;0,040186619;0,009833175
207;0,01;0,073580083;0,040178922;0,011008181
207,5;0,01;0,073569909;0,040171542;0,011293188
208;0,01;0,073560154;0,040164467;0,010753122
208,5;0,01;0,073550801;0,040157683;0,010643371
209;0,01;0,073541833;0,040151178;0,009502928
209,5;0,01;0,073533235;0,040144942;0,008875398
210;0,01;0,073524991;0,040138963;0,008745845
210,5;0,01;0,073517087;0,040133231;0,008942723
211;0,01;0,073509508;0,040127734;0,009450932
211,5;0,01;0,073502242;0,040122465;0,007868718
212;0,01;0,073495276;0,040117413;0,009390357
212,5;0,01;0,073488596;0,040112569;0,010133504
213;0,01;0,073482192;0,040107925;0,008742136
213,5;0,01;0,073476052;0,040103472;0,010467314
214;0,01;0,073470165;0,040099203;0,013005765
214,5;0,01;0,073464521;0,04009511;0,011792227
215;0,01;0,073459109;0,040091186;0,008797667
215,5;0,01;0,073453921;0,040087424;0,009352007
